			School				Cost				Effect					% Chance to gain									AI value				Right Click Text				
Телепорт	Телепорт	3	 	x	 	 	15	12	6	3	0	0	0	0	0	8	8	8	8	8	8	8	10	8	20	20	20	20	"{Телепорт}

Телепортирует любой дружественный отряд в любую незанятую точку поля битвы. Снимает эффект связывающих пут дендроидов.

Нельзя телепортировать через рвы и стены.
"	"{Телепорт базовой ступени}

Телепортирует любой дружественный отряд в любую незанятую точку поля битвы. Снимает эффект связывающих пут дендроидов.

Нельзя телепортировать через рвы и стены.
"	"{Телепорт продвинутой ступени}

Телепортирует любой дружественный отряд в любую незанятую точку поля битвы. Снимает эффект связывающих пут дендроидов.

Нельзя телепортировать через стены.
"	"{Телепорт экспертной ступени}

Телепортирует любой дружественный отряд в любую незанятую точку поля битвы. Снимает эффект связывающих пут дендроидов.
"	 COMBAT_SPELL|CREATURE_TARGET
Убрать Преграду	Убрать Прегр.	2	 	x	 	 	7	5	5	5	0	0	0	0	0	4	4	6	4	4	4	4	4	4	1	1	1	1	"{Убрать Преграду}

Убирает выбранное магом обычное не встроенное препятствие (дерево, камень и т. п.) с поля битвы.
"	"{Убрать Преграду базовой ступени}

Убирает выбранное магом обычное не встроенное препятствие (дерево, камень и т. п.) с поля битвы.
"	"{Убрать Преграду продвинутой ступени}

Убирает выбранное магом обычное не встроенное препятствие (дерево, камень и т. п.) или стену огня с поля битвы.
"	"{Убрать Преграду экспертной ступени}

Убирает любое обычное не встроенное или магическое препятствие по выбору мага с поля битвы.
"	 COMBAT_SPELL|OBSTACLE_TARGET
Клон	Клон	4	 	x	 	 	24	20	20	20	0	5	5	6	7	5	5	10	5	5	5	0	0	10	20	20	40	50	"{Клон}

Создаёт клон — временную копию выбранного дружественного отряда. При получении урона или гибели прототипа клон исчезает. У каждого отряда может быть только один клон. Не действует на боевые машины. Клон существует число раундов, равное силе магии героя.

Заклинание позволяет копировать существ 1-5 уровней.
"	"{Клон базовой ступени}

Создаёт клон — временную копию выбранного дружественного отряда. При получении урона или гибели прототипа клон исчезает. У каждого отряда может быть только один клон. Не действует на боевые машины. Клон существует число раундов, равное силе магии героя.

Заклинание позволяет копировать существ 1-5 уровней.
"	"{Клон продвинутой ступени}

Создаёт клон — временную копию выбранного дружественного отряда. При получении урона или гибели прототипа клон исчезает. У каждого отряда может быть только один клон. Не действует на боевые машины. Клон существует число раундов, равное силе магии героя.

Заклинание позволяет копировать существ 1-6 уровней.
"	"{Клон экспертной ступени}

Создаёт клон — временную копию выбранного дружественного отряда. При получении урона или гибели прототипа клон исчезает. У каждого отряда может быть только один клон. Не действует на боевые машины. Клон существует число раундов, равное силе магии героя.

Заклинание позволяет копировать существ любого уровня.
"	 COMBAT_SPELL|CREATURE_TARGET
Элементаль Огня	Элемент. Огня	5			x		25	20	20	20	0	2	2	3	4	0	0	0	16	0	12	0	0	12	50	50	100	150	"{Элементаль Огня}

Позволяет призвать (сила магии x 2) Огненных Элементалей на случайную позицию своего края поля боя. Элементали будут служить вам до конца боя. После сотворения других элементалей до конца боя призывать нельзя.
"	"{Элементаль Огня базовой ступени}

Позволяет призвать (сила магии x 2) Огненных Элементалей на случайную позицию своего края поля боя. Элементали будут служить вам до конца боя. После сотворения других элементалей до конца боя призывать нельзя.
"	"{Элементаль Огня продвинутой ступени}

Позволяет призвать (сила магии x 3) Огненных Элементалей на случайную позицию своего края поля боя. Элементали будут служить вам до конца боя. После сотворения других элементалей до конца боя призывать нельзя.
"	"{Элементаль Огня экспертной ступени}

Позволяет призвать (сила магии x 4) Огненных Элементалей на случайную позицию своего края поля боя. Элементали будут служить вам до конца боя. После сотворения других элементалей до конца боя призывать нельзя.
"	 COMBAT_SPELL
Элементаль Земли	Элемент. Земли	5	x				25	20	20	20	0	2	2	3	4	0	16	14	16	16	12	0	0	12	50	50	100	150	"{Элементаль Земли}

Позволяет призвать (сила магии x 2) Земляных Элементалей на случайную позицию своего края поля боя. Элементали будут служить вам до конца боя. После сотворения других элементалей до конца боя призывать нельзя.
"	"{Элементаль Земли базовой ступени}

Позволяет призвать (сила магии x 2) Земляных Элементалей на случайную позицию своего края поля боя. Элементали будут служить вам до конца боя. После сотворения других элементалей до конца боя призывать нельзя.
"	"{Элементаль Земли продвинутой ступени}

Позволяет призвать (сила магии x 3) Земляных Элементалей на случайную позицию своего края поля боя. Элементали будут служить вам до конца боя. После сотворения других элементалей до конца боя призывать нельзя.
"	"{Элементаль Земли экспертной ступени}

Позволяет призвать (сила магии x 4) Земляных Элементалей на случайную позицию своего края поля боя. Элементали будут служить вам до конца боя. После сотворения других элементалей до конца боя призывать нельзя.
"	 COMBAT_SPELL
Элементаль Воды	Элемент. Воды	5		x			25	20	20	20	0	2	2	3	4	0	16	14	0	0	12	0	0	12	50	50	100	150	"{Элементаль Воды}

Позволяет призвать (сила магии x 2) Водных Элементалей на случайную позицию своего края поля боя. Элементали будут служить вам до конца боя. После сотворения других элементалей до конца боя призывать нельзя.
"	"{Элементаль Воды базовой ступени}

Позволяет призвать (сила магии x 2) Водных Элементалей на случайную позицию своего края поля боя. Элементали будут служить вам до конца боя. После сотворения других элементалей до конца боя призывать нельзя.
"	"{Элементаль Воды продвинутой ступени}

Позволяет призвать (сила магии x 3) Водных Элементалей на случайную позицию своего края поля боя. Элементали будут служить вам до конца боя. После сотворения других элементалей до конца боя призывать нельзя.
"	"{Элементаль Воды экспертной ступени}

Позволяет призвать (сила магии x 4) Водных Элементалей на случайную позицию своего края поля боя. Элементали будут служить вам до конца боя. После сотворения других элементалей до конца боя призывать нельзя.
"	 COMBAT_SPELL
Элементаль Воздуха	Элемент. Воздуха	5				x	25	20	20	20	0	2	2	3	4	0	0	14	0	16	0	0	0	12	50	50	100	150	"{Элементаль Воздуха}

Позволяет призвать (сила магии x 2) Воздушных Элементалей на случайную позицию своего края поля боя. Элементали будут служить вам до конца боя. После сотворения других элементалей до конца боя призывать нельзя.
"	"{Элементаль Воздуха базовой ступени}

Позволяет призвать (сила магии x 2) Воздушных Элементалей на случайную позицию своего края поля боя. Элементали будут служить вам до конца боя. После сотворения других элементалей до конца боя призывать нельзя.
"	"{Элементаль Воздуха продвинутой ступени}

Позволяет призвать (сила магии x 3) Воздушных Элементалей на случайную позицию своего края поля боя. Элементали будут служить вам до конца боя. После сотворения других элементалей до конца боя призывать нельзя.
"	"{Элементаль Воздуха экспертной ступени}

Позволяет призвать (сила магии x 4) Воздушных Элементалей на случайную позицию своего края поля боя. Элементали будут служить вам до конца боя. После сотворения других элементалей до конца боя призывать нельзя.
"	 COMBAT_SPELL
																																	
Creature Abilities																																	
																																	
Окаменение	Окаменение	3					0	0	0	0	0	0	0	0	0	12	13	12	13	12	13	12	13	13	1	1	1	1					 CREATURE_SPELL
Яд	Яд	0					0	0	0	0	0	0	0	0	0	12	13	12	13	12	13	12	13	13	1	1	1	1					 CREATURE_SPELL
Путы	Путы	0					0	0	0	0	0	0	0	0	0	12	13	12	13	12	13	12	13	13	1	1	1	1					 CREATURE_SPELL
Болезнь	Болезнь	2					0	0	0	0	0	0	0	0	0	12	13	12	13	12	13	12	13	13	1	1	1	1					 CREATURE_SPELL
Паралич	Паралич	4					0	0	0	0	0	0	0	0	0	12	13	12	13	12	13	12	13	13	1	1	1	1					 CREATURE_SPELL
Старость	Старость	5					0	0	0	0	0	0	0	0	0	12	13	12	13	12	13	12	13	13	1	1	1	1					 CREATURE_SPELL
Облако Смерти	Облако Смерти	0					0	0	0	0	0	0	0	0	0	12	13	12	13	12	13	12	13	13	1	1	1	1					 CREATURE_SPELL
Удар Молнии	Удар Молнии	0					0	0	0	0	0	0	0	0	0	12	13	12	13	12	13	12	13	13	1	1	1	1					 CREATURE_SPELL
Снятие Полезных Чар	Сн. Пол. Чар	0					0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1					
Смертельный Взгляд	Смерт. Взгляд	0					0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1					
Кислотное Дыхание	Кисл. Дыхание	0					0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1					
